feature,importance,feature_type
interview_interaction_93,1.572867246673003e-05,Interview
interview_interaction_243,1.563973523075635e-05,Interview
eng_complex_3,1.5570361341840416e-05,Engineering
receipts_bin_8_1,1.523609924945665e-05,Engineering
eng_complex_179,1.5230146937988423e-05,Engineering
interview_interaction_234,1.5183703739219146e-05,Interview
fourier_duration_cos_1,1.5065348440117782e-05,Interview
interview_interaction_236,1.4309460012254635e-05,Interview
eng_complex_73,1.4239167915607273e-05,Engineering
eng_complex_79,1.3586094182600826e-05,Engineering
cbrt_miles,1.3500347367087539e-05,Engineering
interview_interaction_87,1.3377543205958603e-05,Interview
interview_interaction_175,1.336056827471676e-05,Interview
interview_interaction_103,1.3288148369921455e-05,Interview
interview_interaction_251,1.3172272799544673e-05,Interview
eng_complex_90,1.3152524086286446e-05,Engineering
poly_0_2_0,1.29470755436415e-05,Engineering
tanh_miles,1.2734983795876493e-05,Engineering
interview_interaction_115,1.2619280370821626e-05,Interview
duration_range_3,1.2425912568325498e-05,Interview
interview_interaction_29,1.2413955556919421e-05,Interview
interview_interaction_254,1.173413978914319e-05,Interview
interview_interaction_78,1.1534135929904207e-05,Interview
spending_range_4,1.1345729266287805e-05,Interview
eng_complex_160,1.1080212813580639e-05,Engineering
interview_interaction_82,1.1056211345629883e-05,Interview
interview_interaction_147,1.1044079840330868e-05,Interview
eng_complex_136,1.10296454139387e-05,Engineering
log_miles,1.063913388012125e-05,Engineering
eng_complex_82,1.0513149503298824e-05,Engineering
spending_range_5,1.0418386965892517e-05,Interview
interview_interaction_41,1.0258968483283974e-05,Interview
interview_interaction_233,1.0067792166315644e-05,Interview
interview_interaction_188,9.427055748577471e-06,Interview
receipts_bin_10_7,9.261694788440607e-06,Engineering
interview_interaction_204,9.109694163965223e-06,Interview
interaction_duration_miles,9.09997054442843e-06,Interview
interview_interaction_167,9.08659012072941e-06,Interview
interview_interaction_118,9.085333749446948e-06,Interview
interview_interaction_48,8.919238830605753e-06,Interview
interview_interaction_15,8.771325326907005e-06,Interview
interview_interaction_230,8.59625270308137e-06,Interview
eng_complex_63,8.45267551012523e-06,Engineering
interview_interaction_223,8.16953955442664e-06,Interview
eng_complex_152,8.123707092771752e-06,Engineering
interview_interaction_108,7.808571612942025e-06,Interview
interview_interaction_174,7.471773201720592e-06,Interview
efficiency_range_4,7.32915018904609e-06,Interview
interview_interaction_151,7.235505149819167e-06,Interview
interview_interaction_194,7.123716433038602e-06,Interview
interview_interaction_7,7.109020749480113e-06,Interview
interview_interaction_172,6.977177697546444e-06,Interview
eng_complex_70,6.805937112662776e-06,Engineering
interview_interaction_24,6.605323946094185e-06,Interview
pseudo_season_9,6.56725910199465e-06,Engineering
eng_complex_131,6.13580700731672e-06,Engineering
interview_interaction_117,6.111711987653536e-06,Interview
interview_interaction_63,5.8153423606268895e-06,Interview
interview_interaction_126,5.7829952787472325e-06,Interview
fourier_duration_sin_1,5.4778862153437405e-06,Interview
fourier_duration_cos_5,5.273867276456568e-06,Interview
interview_interaction_212,4.914199618951742e-06,Interview
interview_interaction_127,4.803142202040868e-06,Interview
interview_interaction_76,4.383041919606682e-06,Interview
interaction_duration_receipts,4.23404473367914e-06,Interview
sqrt_miles,3.7852327797840414e-06,Engineering
interview_interaction_111,3.783990088306586e-06,Interview
interview_interaction_36,3.6446105377964988e-06,Interview
interview_interaction_253,3.4947355938940645e-06,Interview
interview_interaction_238,3.2747158171727615e-06,Interview
interview_interaction_47,2.864926564833817e-06,Interview
eng_complex_52,2.738772259781607e-06,Engineering
efficiency_range_0,0.0,Interview
efficiency_range_1,0.0,Interview
efficiency_range_2,0.0,Interview
efficiency_range_3,0.0,Interview
efficiency_range_5,0.0,Interview
efficiency_range_6,0.0,Interview
efficiency_range_7,0.0,Interview
high_efficiency_120,0.0,Interview
low_efficiency_120,0.0,Interview
high_efficiency_150,0.0,Interview
low_efficiency_150,0.0,Interview
high_efficiency_180,0.0,Interview
low_efficiency_180,0.0,Interview
high_efficiency_200,0.0,Interview
low_efficiency_200,0.0,Interview
low_efficiency_220,0.0,Interview
high_efficiency_250,0.0,Interview
low_efficiency_250,0.0,Interview
high_efficiency_300,0.0,Interview
low_efficiency_300,0.0,Interview
high_efficiency_350,0.0,Interview
low_efficiency_350,0.0,Interview
high_efficiency_400,0.0,Interview
low_efficiency_400,0.0,Interview
spending_range_0,0.0,Interview
spending_range_1,0.0,Interview
spending_range_2,0.0,Interview
spending_range_3,0.0,Interview
high_spending_30,0.0,Interview
low_spending_30,0.0,Interview
high_spending_50,0.0,Interview
low_spending_50,0.0,Interview
high_spending_75,0.0,Interview
high_spending_100,0.0,Interview
low_spending_100,0.0,Interview
high_spending_125,0.0,Interview
low_spending_125,0.0,Interview
high_spending_150,0.0,Interview
high_spending_200,0.0,Interview
low_spending_200,0.0,Interview
high_spending_250,0.0,Interview
low_spending_250,0.0,Interview
high_spending_300,0.0,Interview
exact_duration_1,0.0,Interview
exact_duration_2,0.0,Interview
exact_duration_3,0.0,Interview
exact_duration_5,0.0,Interview
exact_duration_6,0.0,Interview
exact_duration_7,0.0,Interview
exact_duration_9,0.0,Interview
exact_duration_10,0.0,Interview
exact_duration_12,0.0,Interview
exact_duration_13,0.0,Interview
exact_duration_14,0.0,Interview
duration_range_0,0.0,Interview
duration_range_2,0.0,Interview
duration_range_4,0.0,Interview
duration_range_5,0.0,Interview
duration_range_6,0.0,Interview
duration_range_7,0.0,Interview
duration_range_8,0.0,Interview
high_mileage_50,0.0,Engineering
low_mileage_50,0.0,Engineering
high_mileage_100,0.0,Engineering
low_mileage_100,0.0,Engineering
high_mileage_200,0.0,Engineering
low_mileage_200,0.0,Engineering
high_mileage_300,0.0,Engineering
low_mileage_300,0.0,Engineering
high_mileage_400,0.0,Engineering
low_mileage_400,0.0,Engineering
high_mileage_500,0.0,Engineering
low_mileage_500,0.0,Engineering
high_mileage_600,0.0,Engineering
low_mileage_600,0.0,Engineering
high_mileage_800,0.0,Engineering
low_mileage_800,0.0,Engineering
high_mileage_1000,0.0,Engineering
low_mileage_1000,0.0,Engineering
high_mileage_1200,0.0,Engineering
low_mileage_1200,0.0,Engineering
mileage_range_0,0.0,Engineering
mileage_range_4,0.0,Engineering
mileage_range_5,0.0,Engineering
mileage_range_7,0.0,Engineering
combo_3d_150m_80s,0.0,Interview
combo_3d_150m_100s,0.0,Interview
combo_3d_150m_120s,0.0,Interview
combo_3d_180m_80s,0.0,Interview
combo_3d_180m_100s,0.0,Interview
combo_3d_180m_120s,0.0,Interview
combo_3d_200m_80s,0.0,Interview
combo_3d_200m_100s,0.0,Interview
combo_3d_200m_120s,0.0,Interview
combo_3d_220m_80s,0.0,Interview
combo_3d_220m_100s,0.0,Interview
combo_3d_220m_120s,0.0,Interview
combo_4d_150m_80s,0.0,Interview
combo_4d_150m_100s,0.0,Interview
combo_4d_150m_120s,0.0,Interview
combo_4d_180m_80s,0.0,Interview
combo_4d_180m_100s,0.0,Interview
combo_4d_180m_120s,0.0,Interview
combo_4d_200m_80s,0.0,Interview
combo_4d_200m_100s,0.0,Interview
combo_4d_200m_120s,0.0,Interview
combo_4d_220m_80s,0.0,Interview
combo_4d_220m_100s,0.0,Interview
combo_4d_220m_120s,0.0,Interview
combo_5d_150m_80s,0.0,Interview
